Count of elements - 100
Bus:   fuel tank capacity: 793; fuel consumption: 289; max passengers: 688; max distance: 2
Truck: fuel tank capacity: 917; fuel consumption: 133; lifting capacity: 0; max distance: 6
Bus:   fuel tank capacity: 921; fuel consumption: 520; max passengers: 480; max distance: 1
Truck: fuel tank capacity: 115; fuel consumption: 816; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 313; fuel consumption: 55; max passengers: 345; max distance: 5
Car:   fuel tank capacity: 878; fuel consumption: 880; max speed: 832; max distance: 0
Car:   fuel tank capacity: 868; fuel consumption: 242; max speed: 434; max distance: 3
Car:   fuel tank capacity: 291; fuel consumption: 635; max speed: 273; max distance: 0
Bus:   fuel tank capacity: 203; fuel consumption: 151; max passengers: 906; max distance: 1
Bus:   fuel tank capacity: 672; fuel consumption: 895; max passengers: 591; max distance: 0
Car:   fuel tank capacity: 347; fuel consumption: 646; max speed: 76; max distance: 0
Bus:   fuel tank capacity: 683; fuel consumption: 504; max passengers: 490; max distance: 1
Car:   fuel tank capacity: 316; fuel consumption: 239; max speed: 630; max distance: 1
Bus:   fuel tank capacity: 638; fuel consumption: 738; max passengers: 334; max distance: 0
Car:   fuel tank capacity: 451; fuel consumption: 636; max speed: 834; max distance: 0
Bus:   fuel tank capacity: 241; fuel consumption: 621; max passengers: 256; max distance: 0
Bus:   fuel tank capacity: 908; fuel consumption: 721; max passengers: 535; max distance: 1
Car:   fuel tank capacity: 883; fuel consumption: 602; max speed: 740; max distance: 1
Truck: fuel tank capacity: 263; fuel consumption: 184; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 770; fuel consumption: 444; max speed: 8; max distance: 1
Bus:   fuel tank capacity: 755; fuel consumption: 843; max passengers: 183; max distance: 0
Bus:   fuel tank capacity: 744; fuel consumption: 858; max passengers: 77; max distance: 0
Car:   fuel tank capacity: 739; fuel consumption: 536; max speed: 763; max distance: 1
Truck: fuel tank capacity: 185; fuel consumption: 324; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 207; fuel consumption: 850; max passengers: 592; max distance: 0
Truck: fuel tank capacity: 354; fuel consumption: 910; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 825; fuel consumption: 46; max speed: 759; max distance: 17
Bus:   fuel tank capacity: 911; fuel consumption: 352; max passengers: 129; max distance: 2
Truck: fuel tank capacity: 255; fuel consumption: 413; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 464; fuel consumption: 764; max speed: 301; max distance: 0
Car:   fuel tank capacity: 837; fuel consumption: 86; max speed: 13; max distance: 9
Bus:   fuel tank capacity: 221; fuel consumption: 487; max passengers: 72; max distance: 0
Car:   fuel tank capacity: 350; fuel consumption: 688; max speed: 571; max distance: 0
Bus:   fuel tank capacity: 979; fuel consumption: 654; max passengers: 229; max distance: 1
Bus:   fuel tank capacity: 371; fuel consumption: 211; max passengers: 312; max distance: 1
Truck: fuel tank capacity: 309; fuel consumption: 368; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 581; fuel consumption: 556; max passengers: 847; max distance: 1
Bus:   fuel tank capacity: 528; fuel consumption: 930; max passengers: 316; max distance: 0
Bus:   fuel tank capacity: 976; fuel consumption: 528; max passengers: 327; max distance: 1
Car:   fuel tank capacity: 23; fuel consumption: 885; max speed: 896; max distance: 0
Truck: fuel tank capacity: 151; fuel consumption: 8; lifting capacity: 0; max distance: 18
Bus:   fuel tank capacity: 477; fuel consumption: 179; max passengers: 86; max distance: 2
Bus:   fuel tank capacity: 945; fuel consumption: 994; max passengers: 481; max distance: 0
Bus:   fuel tank capacity: 220; fuel consumption: 737; max passengers: 918; max distance: 0
Bus:   fuel tank capacity: 765; fuel consumption: 500; max passengers: 523; max distance: 1
Truck: fuel tank capacity: 829; fuel consumption: 951; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 757; fuel consumption: 675; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 751; fuel consumption: 569; max passengers: 611; max distance: 1
Car:   fuel tank capacity: 289; fuel consumption: 120; max speed: 159; max distance: 2
Truck: fuel tank capacity: 351; fuel consumption: 485; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 411; fuel consumption: 691; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 558; fuel consumption: 228; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 399; fuel consumption: 501; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 6; fuel consumption: 511; max speed: 92; max distance: 0
Truck: fuel tank capacity: 37; fuel consumption: 287; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 941; fuel consumption: 770; max passengers: 397; max distance: 1
Sorted
Truck: fuel tank capacity: 37; fuel consumption: 287; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 6; fuel consumption: 511; max speed: 92; max distance: 0
Truck: fuel tank capacity: 399; fuel consumption: 501; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 411; fuel consumption: 691; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 351; fuel consumption: 485; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 829; fuel consumption: 951; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 220; fuel consumption: 737; max passengers: 918; max distance: 0
Bus:   fuel tank capacity: 945; fuel consumption: 994; max passengers: 481; max distance: 0
Car:   fuel tank capacity: 23; fuel consumption: 885; max speed: 896; max distance: 0
Bus:   fuel tank capacity: 528; fuel consumption: 930; max passengers: 316; max distance: 0
Truck: fuel tank capacity: 309; fuel consumption: 368; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 350; fuel consumption: 688; max speed: 571; max distance: 0
Bus:   fuel tank capacity: 221; fuel consumption: 487; max passengers: 72; max distance: 0
Car:   fuel tank capacity: 464; fuel consumption: 764; max speed: 301; max distance: 0
Truck: fuel tank capacity: 255; fuel consumption: 413; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 354; fuel consumption: 910; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 207; fuel consumption: 850; max passengers: 592; max distance: 0
Truck: fuel tank capacity: 185; fuel consumption: 324; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 744; fuel consumption: 858; max passengers: 77; max distance: 0
Bus:   fuel tank capacity: 755; fuel consumption: 843; max passengers: 183; max distance: 0
Bus:   fuel tank capacity: 241; fuel consumption: 621; max passengers: 256; max distance: 0
Car:   fuel tank capacity: 451; fuel consumption: 636; max speed: 834; max distance: 0
Bus:   fuel tank capacity: 638; fuel consumption: 738; max passengers: 334; max distance: 0
Car:   fuel tank capacity: 347; fuel consumption: 646; max speed: 76; max distance: 0
Bus:   fuel tank capacity: 672; fuel consumption: 895; max passengers: 591; max distance: 0
Car:   fuel tank capacity: 291; fuel consumption: 635; max speed: 273; max distance: 0
Car:   fuel tank capacity: 878; fuel consumption: 880; max speed: 832; max distance: 0
Truck: fuel tank capacity: 115; fuel consumption: 816; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 14; fuel consumption: 985; max passengers: 934; max distance: 0
Car:   fuel tank capacity: 100; fuel consumption: 570; max speed: 131; max distance: 0
Car:   fuel tank capacity: 169; fuel consumption: 292; max speed: 845; max distance: 0
Car:   fuel tank capacity: 176; fuel consumption: 823; max speed: 207; max distance: 0
Car:   fuel tank capacity: 417; fuel consumption: 936; max speed: 636; max distance: 0
Truck: fuel tank capacity: 143; fuel consumption: 896; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 39; fuel consumption: 846; max passengers: 308; max distance: 0
Truck: fuel tank capacity: 249; fuel consumption: 451; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 527; fuel consumption: 930; max passengers: 973; max distance: 0
Truck: fuel tank capacity: 413; fuel consumption: 601; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 225; fuel consumption: 358; max speed: 949; max distance: 0
Truck: fuel tank capacity: 336; fuel consumption: 364; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 18; fuel consumption: 562; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 195; fuel consumption: 520; max passengers: 742; max distance: 0
Bus:   fuel tank capacity: 615; fuel consumption: 977; max passengers: 165; max distance: 0
Bus:   fuel tank capacity: 591; fuel consumption: 826; max passengers: 246; max distance: 0
Car:   fuel tank capacity: 725; fuel consumption: 768; max speed: 130; max distance: 0
Truck: fuel tank capacity: 11; fuel consumption: 964; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 424; fuel consumption: 990; max speed: 293; max distance: 0
Bus:   fuel tank capacity: 108; fuel consumption: 359; max passengers: 478; max distance: 0
Bus:   fuel tank capacity: 90; fuel consumption: 833; max passengers: 986; max distance: 0
Truck: fuel tank capacity: 48; fuel consumption: 167; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 90; fuel consumption: 782; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 610; fuel consumption: 760; max passengers: 228; max distance: 0
Bus:   fuel tank capacity: 941; fuel consumption: 770; max passengers: 397; max distance: 1
Bus:   fuel tank capacity: 751; fuel consumption: 569; max passengers: 611; max distance: 1
Truck: fuel tank capacity: 757; fuel consumption: 675; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 765; fuel consumption: 500; max passengers: 523; max distance: 1
Bus:   fuel tank capacity: 976; fuel consumption: 528; max passengers: 327; max distance: 1
Bus:   fuel tank capacity: 581; fuel consumption: 556; max passengers: 847; max distance: 1
Bus:   fuel tank capacity: 371; fuel consumption: 211; max passengers: 312; max distance: 1
Bus:   fuel tank capacity: 979; fuel consumption: 654; max passengers: 229; max distance: 1
Car:   fuel tank capacity: 739; fuel consumption: 536; max speed: 763; max distance: 1
Car:   fuel tank capacity: 770; fuel consumption: 444; max speed: 8; max distance: 1
Truck: fuel tank capacity: 263; fuel consumption: 184; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 883; fuel consumption: 602; max speed: 740; max distance: 1
Bus:   fuel tank capacity: 908; fuel consumption: 721; max passengers: 535; max distance: 1
Car:   fuel tank capacity: 316; fuel consumption: 239; max speed: 630; max distance: 1
Bus:   fuel tank capacity: 683; fuel consumption: 504; max passengers: 490; max distance: 1
Bus:   fuel tank capacity: 203; fuel consumption: 151; max passengers: 906; max distance: 1
Bus:   fuel tank capacity: 921; fuel consumption: 520; max passengers: 480; max distance: 1
Bus:   fuel tank capacity: 786; fuel consumption: 432; max passengers: 170; max distance: 1
Car:   fuel tank capacity: 839; fuel consumption: 768; max speed: 712; max distance: 1
Bus:   fuel tank capacity: 765; fuel consumption: 477; max passengers: 630; max distance: 1
Bus:   fuel tank capacity: 630; fuel consumption: 591; max passengers: 480; max distance: 1
Truck: fuel tank capacity: 946; fuel consumption: 609; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 887; fuel consumption: 789; max speed: 919; max distance: 1
Bus:   fuel tank capacity: 568; fuel consumption: 548; max passengers: 513; max distance: 1
Truck: fuel tank capacity: 889; fuel consumption: 655; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 558; fuel consumption: 228; lifting capacity: 0; max distance: 2
Car:   fuel tank capacity: 289; fuel consumption: 120; max speed: 159; max distance: 2
Bus:   fuel tank capacity: 477; fuel consumption: 179; max passengers: 86; max distance: 2
Bus:   fuel tank capacity: 911; fuel consumption: 352; max passengers: 129; max distance: 2
Truck: fuel tank capacity: 784; fuel consumption: 288; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 995; fuel consumption: 333; lifting capacity: 0; max distance: 2
Bus:   fuel tank capacity: 793; fuel consumption: 289; max passengers: 688; max distance: 2
Car:   fuel tank capacity: 868; fuel consumption: 242; max speed: 434; max distance: 3
Car:   fuel tank capacity: 731; fuel consumption: 201; max speed: 459; max distance: 3
Car:   fuel tank capacity: 402; fuel consumption: 115; max speed: 560; max distance: 3
Truck: fuel tank capacity: 812; fuel consumption: 202; lifting capacity: 0; max distance: 4
Bus:   fuel tank capacity: 961; fuel consumption: 209; max passengers: 877; max distance: 4
Bus:   fuel tank capacity: 313; fuel consumption: 55; max passengers: 345; max distance: 5
Truck: fuel tank capacity: 917; fuel consumption: 133; lifting capacity: 0; max distance: 6
Car:   fuel tank capacity: 998; fuel consumption: 140; max speed: 717; max distance: 7
Car:   fuel tank capacity: 837; fuel consumption: 86; max speed: 13; max distance: 9
Car:   fuel tank capacity: 624; fuel consumption: 59; max speed: 137; max distance: 10
Truck: fuel tank capacity: 931; fuel consumption: 82; lifting capacity: 0; max distance: 11
Car:   fuel tank capacity: 825; fuel consumption: 46; max speed: 759; max distance: 17
Bus:   fuel tank capacity: 727; fuel consumption: 41; max passengers: 100; max distance: 17
Truck: fuel tank capacity: 151; fuel consumption: 8; lifting capacity: 0; max distance: 18
Truck: fuel tank capacity: 828; fuel consumption: 18; lifting capacity: 0; max distance: 46
Bus:   fuel tank capacity: 970; fuel consumption: 21; max passengers: 494; max distance: 46
