Count of elements - 10000
Car:   fuel tank capacity: 356; fuel consumption: 25; max speed: 293; max distance: 14
Truck: fuel tank capacity: 118; fuel consumption: 525; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 554; fuel consumption: 968; max speed: 14; max distance: 0
Car:   fuel tank capacity: 595; fuel consumption: 854; max speed: 453; max distance: 0
Car:   fuel tank capacity: 879; fuel consumption: 351; max speed: 532; max distance: 2
Truck: fuel tank capacity: 973; fuel consumption: 901; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 245; fuel consumption: 676; max speed: 573; max distance: 0
Truck: fuel tank capacity: 611; fuel consumption: 354; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 204; fuel consumption: 394; max speed: 278; max distance: 0
Bus:   fuel tank capacity: 475; fuel consumption: 693; max passengers: 179; max distance: 0
Car:   fuel tank capacity: 559; fuel consumption: 129; max speed: 127; max distance: 4
Truck: fuel tank capacity: 992; fuel consumption: 648; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 227; fuel consumption: 376; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 242; fuel consumption: 31; lifting capacity: 0; max distance: 7
Car:   fuel tank capacity: 93; fuel consumption: 227; max speed: 871; max distance: 0
Truck: fuel tank capacity: 421; fuel consumption: 251; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 227; fuel consumption: 623; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 851; fuel consumption: 579; max speed: 789; max distance: 1
Car:   fuel tank capacity: 372; fuel consumption: 645; max speed: 403; max distance: 0
Car:   fuel tank capacity: 903; fuel consumption: 787; max speed: 313; max distance: 1
Car:   fuel tank capacity: 540; fuel consumption: 319; max speed: 606; max distance: 1
Bus:   fuel tank capacity: 73; fuel consumption: 546; max passengers: 259; max distance: 0
Truck: fuel tank capacity: 502; fuel consumption: 126; lifting capacity: 0; max distance: 3
Car:   fuel tank capacity: 231; fuel consumption: 911; max speed: 569; max distance: 0
Truck: fuel tank capacity: 190; fuel consumption: 116; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 132; fuel consumption: 643; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 787; fuel consumption: 684; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 15; fuel consumption: 743; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 275; fuel consumption: 35; max passengers: 434; max distance: 7
Car:   fuel tank capacity: 255; fuel consumption: 249; max speed: 514; max distance: 1
Truck: fuel tank capacity: 193; fuel consumption: 471; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 902; fuel consumption: 646; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 740; fuel consumption: 292; max speed: 103; max distance: 2
Bus:   fuel tank capacity: 597; fuel consumption: 154; max passengers: 180; max distance: 3
Car:   fuel tank capacity: 176; fuel consumption: 414; max speed: 18; max distance: 0
Bus:   fuel tank capacity: 182; fuel consumption: 589; max passengers: 628; max distance: 0
Bus:   fuel tank capacity: 585; fuel consumption: 944; max passengers: 519; max distance: 0
Car:   fuel tank capacity: 230; fuel consumption: 970; max speed: 79; max distance: 0
Truck: fuel tank capacity: 617; fuel consumption: 581; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 271; fuel consumption: 42; max passengers: 815; max distance: 6
Truck: fuel tank capacity: 991; fuel consumption: 133; lifting capacity: 0; max distance: 7
Bus:   fuel tank capacity: 343; fuel consumption: 959; max passengers: 496; max distance: 0
Bus:   fuel tank capacity: 543; fuel consumption: 475; max passengers: 700; max distance: 1
Truck: fuel tank capacity: 691; fuel consumption: 32; lifting capacity: 0; max distance: 21
Car:   fuel tank capacity: 432; fuel consumption: 851; max speed: 211; max distance: 0
Truck: fuel tank capacity: 19; fuel consumption: 609; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 821; fuel consumption: 851; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 192; fuel consumption: 587; max speed: 314; max distance: 0
Bus:   fuel tank capacity: 714; fuel consumption: 409; max passengers: 508; max distance: 1
Bus:   fuel tank capacity: 334; fuel consumption: 433; max passengers: 103; max distance: 0
Car:   fuel tank capacity: 649; fuel consumption: 880; max speed: 951; max distance: 0
Bus:   fuel tank capacity: 630; fuel consumption: 96; max passengers: 146; max distance: 6
Car:   fuel tank capacity: 196; fuel consumption: 991; max speed: 915; max distance: 0
Truck: fuel tank capacity: 183; fuel consumption: 895; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 614; fuel consumption: 982; max speed: 407; max distance: 0
Truck: fuel tank capacity: 623; fuel consumption: 915; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 197; fuel consumption: 944; max passengers: 188; max distance: 0
Car:   fuel tank capacity: 811; fuel consumption: 316; max speed: 404; max distance: 2
Truck: fuel tank capacity: 551; fuel consumption: 596; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 579; fuel consumption: 835; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 566; fuel consumption: 893; max passengers: 763; max distance: 0
Car:   fuel tank capacity: 668; fuel consumption: 5; max speed: 893; max distance: 133
Bus:   fuel tank capacity: 110; fuel consumption: 788; max passengers: 130; max distance: 0
Bus:   fuel tank capacity: 726; fuel consumption: 499; max passengers: 180; max distance: 1
Bus:   fuel tank capacity: 176; fuel consumption: 819; max passengers: 925; max distance: 0
Truck: fuel tank capacity: 32; fuel consumption: 304; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 56; fuel consumption: 164; max speed: 389; max distance: 0
Car:   fuel tank capacity: 669; fuel consumption: 351; max speed: 622; max distance: 1
Bus:   fuel tank capacity: 500; fuel consumption: 692; max passengers: 856; max distance: 0
Car:   fuel tank capacity: 267; fuel consumption: 603; max speed: 586; max distance: 0
Bus:   fuel tank capacity: 848; fuel consumption: 138; max passengers: 590; max distance: 6
Truck: fuel tank capacity: 337; fuel consumption: 798; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 700; fuel consumption: 873; max speed: 627; max distance: 0
Bus:   fuel tank capacity: 168; fuel consumption: 403; max passengers: 600; max distance: 0
Car:   fuel tank capacity: 820; fuel consumption: 550; max speed: 931; max distance: 1
Truck: fuel tank capacity: 627; fuel consumption: 146; lifting capacity: 0; max distance: 4
Bus:   fuel tank capacity: 959; fuel consumption: 566; max passengers: 470; max distance: 1
Truck: fuel tank capacity: 979; fuel consumption: 213; lifting capacity: 0; max distance: 4
Car:   fuel tank capacity: 686; fuel consumption: 264; max speed: 336; max distance: 2
Truck: fuel tank capacity: 560; fuel consumption: 733; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 347; fuel consumption: 378; max passengers: 223; max distance: 0
Truck: fuel tank capacity: 756; fuel consumption: 964; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 322; fuel consumption: 778; max passengers: 811; max distance: 0
Car:   fuel tank capacity: 345; fuel consumption: 957; max speed: 39; max distance: 0
Truck: fuel tank capacity: 652; fuel consumption: 358; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 185; fuel consumption: 557; max speed: 134; max distance: 0
Bus:   fuel tank capacity: 719; fuel consumption: 54; max passengers: 650; max distance: 13
Truck: fuel tank capacity: 856; fuel consumption: 691; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 430; fuel consumption: 40; max passengers: 872; max distance: 10
Truck: fuel tank capacity: 836; fuel consumption: 638; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 224; fuel consumption: 612; max passengers: 367; max distance: 0
Truck: fuel tank capacity: 372; fuel consumption: 308; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 105; fuel consumption: 679; max passengers: 694; max distance: 0
Bus:   fuel tank capacity: 993; fuel consumption: 168; max passengers: 360; max distance: 5
Car:   fuel tank capacity: 343; fuel consumption: 578; max speed: 644; max distance: 0
Truck: fuel tank capacity: 619; fuel consumption: 93; lifting capacity: 0; max distance: 6
Car:   fuel tank capacity: 997; fuel consumption: 64; max speed: 431; max distance: 15
Bus:   fuel tank capacity: 652; fuel consumption: 201; max passengers: 961; max distance: 3
Bus:   fuel tank capacity: 99; fuel consumption: 775; max passengers: 532; max distance: 0
Bus:   fuel tank capacity: 472; fuel consumption: 147; max passengers: 697; max distance: 3
Bus:   fuel tank capacity: 807; fuel consumption: 929; max passengers: 132; max distance: 0
Truck: fuel tank capacity: 57; fuel consumption: 602; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 124; fuel consumption: 75; max speed: 285; max distance: 1
Car:   fuel tank capacity: 236; fuel consumption: 710; max speed: 102; max distance: 0
Bus:   fuel tank capacity: 99; fuel consumption: 734; max passengers: 186; max distance: 0
Car:   fuel tank capacity: 70; fuel consumption: 212; max speed: 717; max distance: 0
Car:   fuel tank capacity: 834; fuel consumption: 811; max speed: 841; max distance: 1
Bus:   fuel tank capacity: 947; fuel consumption: 778; max passengers: 481; max distance: 1
Car:   fuel tank capacity: 800; fuel consumption: 465; max speed: 159; max distance: 1
Bus:   fuel tank capacity: 720; fuel consumption: 416; max passengers: 994; max distance: 1
Bus:   fuel tank capacity: 963; fuel consumption: 616; max passengers: 30; max distance: 1
Bus:   fuel tank capacity: 913; fuel consumption: 83; max passengers: 247; max distance: 11
Bus:   fuel tank capacity: 663; fuel consumption: 156; max passengers: 560; max distance: 4
Bus:   fuel tank capacity: 902; fuel consumption: 654; max passengers: 763; max distance: 1
Truck: fuel tank capacity: 273; fuel consumption: 567; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 550; fuel consumption: 359; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 697; fuel consumption: 686; max passengers: 555; max distance: 1
Truck: fuel tank capacity: 242; fuel consumption: 619; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 666; fuel consumption: 966; max speed: 367; max distance: 0
Bus:   fuel tank capacity: 723; fuel consumption: 53; max passengers: 982; max distance: 13
Car:   fuel tank capacity: 138; fuel consumption: 69; max speed: 24; max distance: 2
Bus:   fuel tank capacity: 118; fuel consumption: 541; max passengers: 581; max distance: 0
Car:   fuel tank capacity: 354; fuel consumption: 988; max speed: 220; max distance: 0
Truck: fuel tank capacity: 61; fuel consumption: 383; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 698; fuel consumption: 287; lifting capacity: 0; max distance: 2
Bus:   fuel tank capacity: 442; fuel consumption: 997; max passengers: 100; max distance: 0
Car:   fuel tank capacity: 758; fuel consumption: 774; max speed: 41; max distance: 0
Bus:   fuel tank capacity: 522; fuel consumption: 524; max passengers: 122; max distance: 0
Truck: fuel tank capacity: 868; fuel consumption: 675; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 691; fuel consumption: 999; max speed: 152; max distance: 0
Truck: fuel tank capacity: 202; fuel consumption: 81; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 908; fuel consumption: 674; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 803; fuel consumption: 394; lifting capacity: 0; max distance: 2
Bus:   fuel tank capacity: 27; fuel consumption: 484; max passengers: 118; max distance: 0
Truck: fuel tank capacity: 594; fuel consumption: 798; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 138; fuel consumption: 484; max speed: 725; max distance: 0
Truck: fuel tank capacity: 374; fuel consumption: 892; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 111; fuel consumption: 615; max speed: 116; max distance: 0
Bus:   fuel tank capacity: 206; fuel consumption: 787; max passengers: 1000; max distance: 0
Truck: fuel tank capacity: 113; fuel consumption: 937; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 635; fuel consumption: 376; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 278; fuel consumption: 197; max passengers: 134; max distance: 1
Car:   fuel tank capacity: 470; fuel consumption: 920; max speed: 129; max distance: 0
Car:   fuel tank capacity: 143; fuel consumption: 675; max speed: 556; max distance: 0
Bus:   fuel tank capacity: 876; fuel consumption: 939; max passengers: 181; max distance: 0
Bus:   fuel tank capacity: 851; fuel consumption: 453; max passengers: 916; max distance: 1
Truck: fuel tank capacity: 215; fuel consumption: 891; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 481; fuel consumption: 355; max speed: 685; max distance: 1
Car:   fuel tank capacity: 440; fuel consumption: 689; max speed: 587; max distance: 0
Car:   fuel tank capacity: 227; fuel consumption: 34; max speed: 668; max distance: 6
Bus:   fuel tank capacity: 720; fuel consumption: 938; max passengers: 249; max distance: 0
Bus:   fuel tank capacity: 399; fuel consumption: 628; max passengers: 799; max distance: 0
Truck: fuel tank capacity: 223; fuel consumption: 962; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 920; fuel consumption: 76; max passengers: 762; max distance: 12
Bus:   fuel tank capacity: 470; fuel consumption: 208; max passengers: 548; max distance: 2
Car:   fuel tank capacity: 208; fuel consumption: 425; max speed: 802; max distance: 0
Car:   fuel tank capacity: 120; fuel consumption: 378; max speed: 642; max distance: 0
Car:   fuel tank capacity: 591; fuel consumption: 53; max speed: 906; max distance: 11
Bus:   fuel tank capacity: 464; fuel consumption: 3; max passengers: 910; max distance: 154
Truck: fuel tank capacity: 479; fuel consumption: 451; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 562; fuel consumption: 739; max speed: 798; max distance: 0
Bus:   fuel tank capacity: 213; fuel consumption: 752; max passengers: 986; max distance: 0
Car:   fuel tank capacity: 608; fuel consumption: 946; max speed: 523; max distance: 0
Bus:   fuel tank capacity: 676; fuel consumption: 911; max passengers: 656; max distance: 0
Truck: fuel tank capacity: 590; fuel consumption: 772; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 128; fuel consumption: 750; max speed: 139; max distance: 0
Truck: fuel tank capacity: 960; fuel consumption: 425; lifting capacity: 0; max distance: 2
Car:   fuel tank capacity: 18; fuel consumption: 120; max speed: 809; max distance: 0
Car:   fuel tank capacity: 932; fuel consumption: 183; max speed: 322; max distance: 5
Bus:   fuel tank capacity: 994; fuel consumption: 610; max passengers: 705; max distance: 1
Car:   fuel tank capacity: 260; fuel consumption: 650; max speed: 555; max distance: 0
Truck: fuel tank capacity: 349; fuel consumption: 650; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 683; fuel consumption: 532; max passengers: 278; max distance: 1
Truck: fuel tank capacity: 669; fuel consumption: 456; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 936; fuel consumption: 832; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 712; fuel consumption: 362; max passengers: 688; max distance: 1
Car:   fuel tank capacity: 133; fuel consumption: 85; max speed: 131; max distance: 1
Bus:   fuel tank capacity: 891; fuel consumption: 746; max passengers: 343; max distance: 1
Car:   fuel tank capacity: 431; fuel consumption: 676; max speed: 127; max distance: 0
Truck: fuel tank capacity: 376; fuel consumption: 874; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 174; fuel consumption: 809; max passengers: 448; max distance: 0
Bus:   fuel tank capacity: 927; fuel consumption: 447; max passengers: 436; max distance: 2
Bus:   fuel tank capacity: 758; fuel consumption: 881; max passengers: 722; max distance: 0
Car:   fuel tank capacity: 182; fuel consumption: 473; max speed: 984; max distance: 0
Truck: fuel tank capacity: 81; fuel consumption: 449; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 999; fuel consumption: 585; max passengers: 415; max distance: 1
Bus:   fuel tank capacity: 712; fuel consumption: 115; max passengers: 577; max distance: 6
Truck: fuel tank capacity: 546; fuel consumption: 377; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 979; fuel consumption: 961; max passengers: 424; max distance: 1
Car:   fuel tank capacity: 518; fuel consumption: 656; max speed: 171; max distance: 0
Bus:   fuel tank capacity: 225; fuel consumption: 671; max passengers: 480; max distance: 0
Bus:   fuel tank capacity: 393; fuel consumption: 846; max passengers: 148; max distance: 0
Truck: fuel tank capacity: 446; fuel consumption: 718; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 892; fuel consumption: 633; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 169; fuel consumption: 831; max passengers: 665; max distance: 0
Truck: fuel tank capacity: 425; fuel consumption: 301; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 565; fuel consumption: 962; max speed: 321; max distance: 0
Truck: fuel tank capacity: 505; fuel consumption: 696; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 273; fuel consumption: 193; max passengers: 161; max distance: 1
Car:   fuel tank capacity: 358; fuel consumption: 243; max speed: 266; max distance: 1
Car:   fuel tank capacity: 831; fuel consumption: 284; max speed: 415; max distance: 2
Car:   fuel tank capacity: 642; fuel consumption: 483; max speed: 319; max distance: 1
Truck: fuel tank capacity: 763; fuel consumption: 634; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 422; fuel consumption: 938; max speed: 839; max distance: 0
Bus:   fuel tank capacity: 839; fuel consumption: 117; max passengers: 821; max distance: 7
Truck: fuel tank capacity: 860; fuel consumption: 546; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 831; fuel consumption: 708; max speed: 595; max distance: 1
Bus:   fuel tank capacity: 229; fuel consumption: 201; max passengers: 390; max distance: 1
Car:   fuel tank capacity: 512; fuel consumption: 678; max speed: 736; max distance: 0
Bus:   fuel tank capacity: 411; fuel consumption: 69; max passengers: 458; max distance: 5
Truck: fuel tank capacity: 824; fuel consumption: 733; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 478; fuel consumption: 32; lifting capacity: 0; max distance: 14
Truck: fuel tank capacity: 29; fuel consumption: 125; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 196; fuel consumption: 759; max speed: 486; max distance: 0
Car:   fuel tank capacity: 385; fuel consumption: 585; max speed: 584; max distance: 0
Bus:   fuel tank capacity: 425; fuel consumption: 91; max passengers: 383; max distance: 4
Car:   fuel tank capacity: 205; fuel consumption: 573; max speed: 463; max distance: 0
Car:   fuel tank capacity: 913; fuel consumption: 251; max speed: 301; max distance: 3
Truck: fuel tank capacity: 430; fuel consumption: 177; lifting capacity: 0; max distance: 2
Car:   fuel tank capacity: 158; fuel consumption: 758; max speed: 398; max distance: 0
Truck: fuel tank capacity: 872; fuel consumption: 130; lifting capacity: 0; max distance: 6
Car:   fuel tank capacity: 786; fuel consumption: 597; max speed: 356; max distance: 1
Bus:   fuel tank capacity: 611; fuel consumption: 585; max passengers: 566; max distance: 1
Car:   fuel tank capacity: 370; fuel consumption: 504; max speed: 69; max distance: 0
Bus:   fuel tank capacity: 489; fuel consumption: 779; max passengers: 825; max distance: 0
Truck: fuel tank capacity: 984; fuel consumption: 876; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 46; fuel consumption: 140; max speed: 520; max distance: 0
Car:   fuel tank capacity: 514; fuel consumption: 705; max speed: 469; max distance: 0
Car:   fuel tank capacity: 89; fuel consumption: 796; max speed: 306; max distance: 0
